MITRE ATTACK Technique,P-SSCRM Task,Transitive (M1),LLM (M2),Framework (M3),Report (M4),Is Gap,Agreed Upon All Strategies,Manual v1.1 Mapping
T1185,E.3.3,True,True,True,False,False,False,False
T1187,E.3.7,True,True,True,False,False,False,False
T1189,D.2.1,True,True,True,False,False,False,False
T1189,E.3.7,True,True,True,False,False,False,False
T1190,D.1.2,True,True,False,True,False,False,False
T1190,D.1.3,True,True,False,True,False,False,False
T1190,D.2.1,True,True,True,True,False,True,False
T1190,E.2.4,True,False,True,True,False,False,False
T1190,E.2.5,True,True,True,False,False,False,False
T1190,E.3.2,True,True,True,True,False,True,False
T1190,E.3.3,True,True,True,True,False,True,False
T1190,E.3.7,True,True,True,True,False,True,False
T1190,G.2.5,True,True,False,True,False,False,False
T1190,G.4.1,True,True,False,True,False,False,False
T1190,G.5.1,True,True,False,True,False,False,False
T1190,P.4.3,True,True,True,False,False,False,False
T1190,P.4.4,True,True,False,True,False,False,False
T1190,P.5.2,True,True,True,True,False,True,False
T1195,D.1.2,True,True,False,True,False,False,False
T1195,D.1.3,True,True,False,True,False,False,False
T1195,D.1.4,True,True,False,True,False,False,False
T1195,D.1.6,True,True,False,True,False,False,False
T1195,D.2.1,True,True,False,True,False,False,False
T1195,G.1.4,True,True,False,True,False,False,False
T1195,G.1.5,True,True,False,True,False,False,False
T1195,G.3.1,True,True,False,True,False,False,False
T1195,G.4.1,False,True,True,True,False,False,False
T1195,G.4.3,True,True,False,True,False,False,False
T1195,G.5.1,True,True,False,True,False,False,False
T1195,P.2.1,True,True,False,True,False,False,False
T1195,P.3.4,True,True,False,True,False,False,False
T1195,P.4.1,True,True,False,True,False,False,False
T1195,P.4.3,True,True,True,True,False,True,False
T1195,P.4.5,True,True,False,True,False,False,False
T1195,P.5.1,True,True,False,True,False,False,False
T1195,P.5.2,True,True,True,True,False,True,False
T1199,E.3.3,True,True,True,True,False,True,False
T1199,E.3.7,True,True,False,True,False,False,False
T1199,G.5.1,True,True,False,True,False,False,False
T1199,P.2.1,True,True,False,True,False,False,False
T1203,D.2.1,True,True,True,False,False,False,False
T1203,E.3.7,True,True,True,False,False,False,False
T1204,E.3.7,True,True,True,False,False,False,False
T1205,E.3.7,True,True,True,False,False,False,False
T1210,D.2.1,True,True,True,False,False,False,False
T1210,E.3.3,True,True,True,False,False,False,False
T1210,E.3.7,True,True,True,False,False,False,False
T1210,G.4.3,True,True,True,False,False,False,False
T1210,P.2.1,True,True,True,False,False,False,False
T1210,P.4.3,True,True,True,False,False,False,False
T1210,P.5.2,True,True,True,False,False,False,False
T1211,D.2.1,True,True,True,False,False,False,False
T1211,E.2.5,True,True,True,False,False,False,False
T1211,G.4.3,True,True,True,False,False,False,False
T1211,P.5.2,True,True,True,False,False,False,False
T1212,D.2.1,True,True,True,False,False,False,False
T1212,E.2.5,True,True,True,False,False,False,False
T1212,E.3.7,True,True,True,False,False,False,False
T1212,G.4.3,True,True,True,False,False,False,False
T1212,P.5.2,True,True,True,False,False,False,False
T1213,D.2.1,True,True,True,False,False,False,False
T1213,E.3.3,True,True,True,False,False,False,False
T1213,E.3.4,True,True,True,False,False,False,False
T1213,G.2.6,True,True,True,True,False,True,False
T1218,D.2.1,True,True,True,True,False,True,False
T1218,E.3.3,True,True,True,False,False,False,False
T1219,E.3.7,True,True,True,False,False,False,False
T1221,E.3.7,True,True,True,False,False,False,False
T1221,P.2.1,True,True,True,False,False,False,False
T1222,E.3.3,True,True,True,False,False,False,False
T1484,D.2.1,False,True,True,True,False,False,False
T1484,E.3.3,True,True,True,False,False,False,False
T1484,E.3.6,True,True,True,True,False,True,False
T1489,E.3.3,True,True,True,False,False,False,False
T1505,E.3.3,True,True,True,False,False,False,False
T1505,E.3.6,True,True,True,False,False,False,False
T1505,P.2.1,True,True,True,False,False,False,False
T1505,P.4.5,True,True,True,False,False,False,False
T1525,E.3.3,True,True,True,False,False,False,False
T1525,E.3.6,True,True,True,False,False,False,False
T1528,D.2.1,True,True,True,False,False,False,False
T1528,E.3.3,True,True,True,False,False,False,False
T1530,E.3.3,True,True,True,False,False,False,False
T1530,E.3.4,True,True,True,False,False,False,False
T1530,G.2.6,True,True,True,False,False,False,False
T1537,E.3.3,True,True,True,False,False,False,False
T1537,E.3.7,True,True,True,False,False,False,False
T1538,E.3.3,True,True,True,False,False,False,False
T1543,D.2.1,True,True,True,False,False,False,False
T1543,E.3.6,True,True,True,False,False,False,False
T1548,D.2.1,True,True,True,True,False,True,False
T1548,E.3.3,True,True,True,True,False,True,False
T1548,E.3.6,True,True,True,False,False,False,False
T1550,D.2.1,False,True,True,True,False,False,False
T1550,E.3.3,True,True,True,False,False,False,False
T1550,E.3.6,True,False,True,True,False,False,False
T1550,G.3.4,False,True,True,True,False,False,False
T1552,D.2.1,True,True,True,True,False,True,False
T1552,E.3.3,True,True,True,True,False,True,False
T1552,E.3.4,True,True,True,False,False,False,False
T1552,E.3.6,True,False,True,True,False,False,False
T1552,E.3.7,True,False,True,True,False,False,False
T1552,E.3.8,False,True,True,True,False,False,False
T1552,G.2.6,True,True,True,True,False,True,False
T1553,D.1.2,True,True,False,True,False,False,False
T1553,D.1.4,True,True,False,True,False,False,False
T1553,E.3.3,True,True,True,False,False,False,False
T1553,P.2.1,True,True,False,True,False,False,False
T1553,P.4.5,True,True,False,True,False,False,False
T1553,P.5.2,True,True,False,True,False,False,False
T1554,P.3.3,False,True,True,True,False,False,False
T1555,D.2.1,True,True,False,True,False,False,False
T1555,E.3.3,True,True,True,True,False,True,False
T1556,D.2.1,True,True,True,False,False,False,False
T1556,E.3.3,True,True,True,False,False,False,False
T1556,E.3.6,True,True,True,False,False,False,False
T1557,E.3.2,True,True,True,False,False,False,False
T1557,E.3.4,True,True,True,False,False,False,False
T1557,E.3.7,True,True,True,False,False,False,False
T1558,D.2.1,True,True,True,True,False,True,False
T1558,E.3.3,True,True,True,False,False,False,False
T1558,E.3.8,False,True,True,True,False,False,False
T1559,P.2.1,True,True,True,False,False,False,False
T1562,D.1.2,True,True,False,True,False,False,False
T1562,D.2.1,True,True,True,True,False,True,False
T1562,E.3.6,True,True,True,False,False,False,False
T1563,E.3.2,True,True,True,False,False,False,False
T1563,E.3.3,True,True,True,False,False,False,False
T1565,E.3.3,True,True,True,False,False,False,False
T1565,E.3.4,True,True,True,False,False,False,False
T1565,G.2.6,True,True,True,False,False,False,False
T1566,E.3.7,True,True,True,False,False,False,False
T1567,E.3.7,True,True,True,False,False,False,False
T1568,D.2.1,True,True,False,True,False,False,False
T1568,E.3.7,True,True,True,False,False,False,False
T1569,E.3.3,True,True,True,False,False,False,False
T1570,E.3.7,True,True,True,False,False,False,False
T1571,E.3.7,True,True,True,False,False,False,False
T1572,E.3.7,True,True,True,False,False,False,False
T1573,D.2.1,True,False,True,True,False,False,False
T1573,E.3.7,True,True,True,False,False,False,False
T1574,D.2.1,True,True,True,False,False,False,False
T1574,E.3.6,True,True,True,False,False,False,False
T1578,E.3.3,True,True,True,False,False,False,False
T1599,E.3.7,True,True,True,False,False,False,False
T1602,E.3.4,True,True,True,False,False,False,False
T1602,E.3.7,True,True,True,False,False,False,False
T1606,D.2.1,False,True,True,True,False,False,False
T1606,E.3.3,True,True,True,True,False,True,False
T1606,G.3.4,False,True,True,True,False,False,False
T1609,E.3.3,True,True,True,False,False,False,False
T1609,P.2.1,True,True,True,False,False,False,False
T1610,E.3.3,True,True,True,False,False,False,False
T1610,E.3.6,True,True,True,False,False,False,False
T1610,E.3.7,True,True,True,False,False,False,False
T1611,E.3.7,True,True,True,False,False,False,False
T1611,P.2.1,True,True,True,False,False,False,False
T1612,E.3.6,True,True,True,False,False,False,False
T1612,P.4.5,True,True,True,False,False,False,False
T1621,E.3.3,True,True,True,False,False,False,False
T1649,E.3.3,True,True,True,False,False,False,False
T1651,E.3.3,True,True,True,False,False,False,False
T1659,E.3.4,True,True,True,False,False,False,False
T1659,E.3.7,True,True,True,False,False,False,False
T1027,E.3.11,False,True,True,False,True,False,False
T1036,E.3.11,False,True,True,False,True,False,False
T1080,E.3.11,False,True,True,False,True,False,False
T1098,E.3.11,False,True,False,True,True,False,False
T1190,D.1.7,False,True,False,True,True,False,False
T1190,E.3.11,False,True,False,True,True,False,False
T1195,D.1.7,False,True,False,True,True,False,False
T1195,E.3.11,False,True,False,True,True,False,False
T1195,G.5.5,False,True,False,True,True,False,False
T1199,D.1.7,False,True,False,True,True,False,False
T1199,E.3.11,False,True,False,True,True,False,False
T1199,G.5.5,False,True,False,True,True,False,False
T1221,E.3.11,False,True,True,False,True,False,False
T1564,E.3.11,False,True,True,False,True,False,False
T1584,E.3.11,False,True,False,True,True,False,False
T1608,E.3.11,False,True,False,True,True,False,False
T1007,P.2.1,False,False,False,False,False,False,True
T1012,D.2.1,False,False,False,False,False,False,True
T1014,E.2.6,False,False,False,False,False,False,True
T1014,E.3.10,False,False,False,False,False,False,True
T1014,E.3.6,False,False,False,False,False,False,True
T1016,D.2.1,False,False,False,False,False,False,True
T1018,D.2.1,False,False,False,False,False,False,True
T1033,P.2.1,False,False,False,False,False,False,True
T1049,D.2.1,False,False,False,False,False,False,True
T1053,D.2.1,False,False,False,False,False,False,True
T1053,D.2.2,False,False,False,False,False,False,True
T1053,E.3.3,False,False,False,False,False,False,True
T1053,E.3.6,False,False,False,False,False,False,True
T1053,G.3.4,False,False,False,False,False,False,True
T1053,P.2.1,False,False,False,False,False,False,True
T1055,D.2.1,False,False,False,False,False,False,True
T1055,D.2.2,False,False,False,False,False,False,True
T1055,E.3.10,False,False,False,False,False,False,True
T1055,E.3.3,False,False,False,False,False,False,True
T1055,E.3.7,False,False,False,False,False,False,True
T1055,P.4.4,False,False,False,False,False,False,True
T1056,E.1.3,False,False,False,False,False,False,True
T1056,E.3.1,False,False,False,False,False,False,True
T1056,G.3.4,False,False,False,False,False,False,True
T1057,D.2.1,False,False,False,False,False,False,True
T1082,D.2.1,False,False,False,False,False,False,True
T1083,D.2.1,False,False,False,False,False,False,True
T1112,E.3.3,False,False,False,False,False,False,True
T1112,E.3.6,False,False,False,False,False,False,True
T1119,D.2.1,False,False,False,False,False,False,True
T1119,E.3.4,False,False,False,False,False,False,True
T1119,G.2.6,False,False,False,False,False,False,True
T1129,D.2.1,False,False,False,False,False,False,True
T1132,D.2.1,False,False,False,False,False,False,True
T1132,E.3.7,False,False,False,False,False,False,True
T1140,D.2.1,False,False,False,False,False,False,True
T1482,D.2.1,False,False,False,False,False,False,True
T1482,E.3.2,False,False,False,False,False,False,True
T1486,D.2.1,False,False,False,False,False,False,True
T1486,E.3.3,False,False,False,False,False,False,True
T1490,D.2.1,False,False,False,False,False,False,True
T1490,E.3.3,False,False,False,False,False,False,True
T1490,E.3.6,False,False,False,False,False,False,True
T1496,D.2.1,False,False,False,False,False,False,True
T1496,E.3.3,False,False,False,False,False,False,True
T1497,D.2.1,False,False,False,False,False,False,True
T1499,D.1.2,False,False,False,False,False,False,True
T1499,D.2.1,False,False,False,False,False,False,True
T1499,E.3.7,False,False,False,False,False,False,True
T1518,D.2.1,False,False,False,False,False,False,True
T1546,D.2.1,False,False,False,False,False,False,True
T1546,D.2.2,False,False,False,False,False,False,True
T1546,E.3.1,False,False,False,False,False,False,True
T1546,E.3.3,False,False,False,False,False,False,True
T1547,D.2.1,False,False,False,False,False,False,True
T1560,D.2.1,False,False,False,False,False,False,True
T1560,G.3.4,False,False,False,False,False,False,True
T1585,E.3.3,False,False,False,False,False,False,True
T1586,D.2.1,False,False,False,False,False,False,True
T1586,E.1.3,False,False,False,False,False,False,True
T1586,E.1.4,False,False,False,False,False,False,True
T1586,E.3.1,False,False,False,False,False,False,True
T1586,E.3.3,False,False,False,False,False,False,True
T1586,E.3.9,False,False,False,False,False,False,True
T1586,G.3.4,False,False,False,False,False,False,True
T1587,G.4.3,False,False,False,False,False,False,True
T1587,G.5.1,False,False,False,False,False,False,True
T1587,P.2.1,False,False,False,False,False,False,True
T1588,G.4.3,False,False,False,False,False,False,True
T1589,G.3.4,False,False,False,False,False,False,True
T1591,G.3.4,False,False,False,False,False,False,True
T1593,G.4.1,False,False,False,False,False,False,True
T1595,D.2.1,False,False,False,False,False,False,True
T1595,G.4.3,False,False,False,False,False,False,True
T1622,D.2.1,False,False,False,False,False,False,True
T1656,G.4.1,False,False,False,False,False,False,True
T1656,G.4.3,False,False,False,False,False,False,True
T1665,D.2.1,False,False,False,False,False,False,True
T1665,E.3.7,False,False,False,False,False,False,True
